id,gen,ht,wt,imb,age,cirw,cirth,cirn
1,1,154,69,29094,48,84,107,35
2,0,160,78,30469,56,96,104,37
3,1,163,86,32369,33,98,118,38
4,1,172,74,25014,52,86,105,39
5,1,167,56,20080,26,71,97,34
6,1,162,51,19433,27,71,94,34
7,1,156,47,19313,31,60,92,32
8,1,174,78,25763,27,80,110,35
9,1,158,65,26037,24,77,102,32
10,1,159,56,22151,27,72,90,35
11,1,165,51,18733,24,71,89,35
12,1,160,55,21484,30,62,93,31
13,1,164,48,17847,25,60,84,31
14,1,163,65,24465,43,72,102,34
15,1,167,105,37649,48,104,125,42
16,1,163,58,21830,32,69,100,30
17,1,162,52,19814,44,64,90,34
18,1,162,51,19433,35,66,88,33
19,1,169,59,20658,35,69,98,32
20,0,176,89,28732,32,92,103,42
21,0,176,81,26149,58,97,90,44
22,0,185,84,24543,35,96,107,41
23,1,163,65,24465,33,74,98,37
24,1,172,68,22985,36,73,100,35
25,1,176,64,20661,33,71,98,34
26,1,153,54,23068,36,76,94,32
27,0,180,65,20062,31,78,79,37
28,0,192,90,24414,36,96,107,41
29,0,182,64,19321,38,75,93,40
30,1,176,66,21307,31,75,95,35
31,1,156,68,27942,51,89,109,38
32,1,162,64,24387,56,80,100,36
33,1,165,65,23875,49,77,104,37
34,1,167,87,31195,46,102,101,37
35,1,170,62,21453,47,69,98,33
36,1,160,85,33203,51,100,123,37
37,1,164,77,28629,39,97,105,36
38,0,170,71,24567,40,85,98,41
39,0,186,85,24569,43,92,105,38
40,0,185,89,26004,44,91,110,41
41,0,176,98,31637,52,112,113,44
42,0,173,74,24725,55,89,80,42
43,0,170,85,29412,49,94,103,42
44,0,174,74,24442,54,90,100,41
45,0,170,70,24221,53,90,80,41
46,1,170,56,19377,25,72,93,32
47,0,174,74,24442,26,92,101,39
48,1,178,63,19884,25,66,93,35
49,1,167,97,34781,48,108,118,40
50,1,165,65,23875,32,79,101,35
51,0,180,64,19753,33,83,93,40
52,0,178,78,24618,25,82,80,38
53,1,166,61,22137,48,66,88,27
54,1,169,67,23459,30,77,102,34
55,1,164,63,23424,31,82,97,37
56,1,160,71,27734,43,89,108,37
57,1,164,54,20077,24,66,91,31
58,0,174,65,21469,52,83,90,39
59,1,162,62,23624,50,74,103,32
60,0,172,85,28732,58,107,103,41
61,0,186,88,25436,57,93,105,40
62,1,158,60,24035,43,76,96,36
63,1,161,53,20447,36,69,95,32
64,1,165,81,29752,56,87,106,31
65,1,173,73,24391,37,78,102,36
66,1,169,73,25559,24,73,99,30
67,1,164,50,18590,22,62,92,33
68,1,170,80,27682,44,89,106,40
69,1,175,64,20898,29,73,90,36
70,1,168,62,21967,27,70,98,32
71,1,170,70,24221,39,78,104,34
72,0,178,74,23356,24,89,104,42
73,1,175,53,17306,31,58,88,27
74,0,182,67,20227,24,78,70,38
75,0,181,76,23198,45,95,99,42
76,0,180,92,28395,34,96,110,40
77,0,183,84,25083,35,92,95,38
78,1,172,60,20281,31,71,98,34
79,1,165,61,22406,39,72,94,34
80,1,165,68,24977,34,79,98,35
81,1,164,92,34206,48,101,113,42
82,1,160,45,17578,29,71,83,32
83,0,170,90,31142,45,96,106,43
84,1,156,71,29175,49,87,106,37
85,1,158,50,20029,34,71,89,32
86,0,178,107,33771,37,120,122,48
87,1,173,70,23389,30,73,103,38
88,1,167,76,27251,39,88,114,38
89,1,160,77,30078,57,96,112,38
90,1,164,67,24911,41,88,100,37
91,1,153,60,25631,47,69,91,33
92,1,164,58,21565,33,72,90,35
93,1,158,64,25637,27,77,107,34
94,1,172,58,19605,30,64,90,29
95,1,161,82,31635,32,91,112,40
96,1,168,64,22676,28,76,102,33
97,0,176,84,27118,44,94,102,45
98,0,169,62,21708,30,68,84,32
99,0,170,106,36678,34,119,120,45
100,0,192,107,29026,41,103,116,42
101,1,164,58,21565,55,71,95,35
102,1,162,57,21719,45,74,97,34
103,1,174,110,36332,42,104,121,37
104,0,186,110,31796,43,110,110,46
105,1,160,61,23828,43,77,97,36
106,1,168,61,21613,62,93,72,35
107,1,163,64,24088,27,74,103,34
108,1,172,90,30422,36,83,118,39
109,1,164,65,24167,34,74,102,33
110,1,162,91,34675,55,90,120,36
111,0,173,89,29737,51,119,115,46
112,1,160,58,22656,40,67,93,28
113,1,176,68,21952,34,76,103,35
114,1,170,70,24221,38,83,103,34
115,1,168,64,22676,29,71,103,36
116,1,164,62,23052,36,72,95,34
117,0,179,87,27153,41,94,90,38
118,1,167,58,20797,37,75,97,36
119,1,176,74,23889,38,89,103,39
120,1,167,57,20438,39,74,94,32
121,0,185,77,22498,26,85,101,40
122,1,164,68,25283,35,76,98,34
123,1,153,55,23495,34,75,92,35
124,0,180,94,29012,57,101,98,40
125,0,189,90,25195,26,87,105,41
126,1,,,,18,,,
127,1,170,52,17993,33,69,85,33
128,1,177,67,21386,27,71,99,37
129,0,172,94,31774,59,106,113,43
130,0,164,59,21936,28,74,70,36
131,1,155,74,30801,52,85,110,38
132,1,158,80,32046,58,102,118,37
133,1,162,55,20957,45,66,98,32
134,0,170,71,24567,35,76,94,38
135,1,167,72,25817,41,82,103,41
136,1,172,56,18929,36,66,96,32
137,0,176,80,25826,31,84,101,42
138,1,164,61,22680,28,74,98,34
139,1,154,80,33733,73,101,118,32
140,1,176,66,21307,24,76,101,34
141,1,167,51,18287,26,62,94,34
142,1,170,78,26990,37,86,105,38
143,1,160,78,30469,55,93,110,41
144,1,165,67,24610,38,76,101,36
145,0,182,99,29888,39,98,102,43
146,0,182,82,24755,33,87,101,42
147,0,178,76,23987,40,88,102,40
148,0,180,99,30556,50,104,117,45
149,1,167,101,36215,47,103,130,38
